Paid Price,Postcode,Type,LSOA,total_floor_area_m2,Employment,Health,Crime,Income,Education,Address
82000,BD2 2HF,S,E01010651,46,14592,14197,10238,51204,41.8,42 FAIRBURN GARDENS
220000,BD2 3SA,S,E01010651,95,14592,14197,10238,51204,41.8,7 LEAFIELD GROVE
182000,BD2 3SQ,S,E01010651,70,14592,14197,10238,51204,41.8,16 LEAFIELD CRESCENT
233000,BD2 2LE,S,E01010656,100,13886,15130,8493,39418,41.8,94 ACRE AVENUE
192500,BD2 2LP,S,E01010657,77,9212,5574,3984,39418,41.8,19 ACRE CRESCENT
155000,BD2 3BB,T,E01010601,87,9947,8683,6214,51204,41.8,5 AIREDALE STREET
105000,BD2 3DD,T,E01010601,58,9947,8683,6214,51204,41.8,162 UNDERCLIFFE ROAD
86500,BD2 3DL,T,E01010601,66,9947,8683,6214,51204,41.8,28 PETERBOROUGH TERRACE
130000,BD2 4JH,S,E01010601,111,9947,8683,6214,51204,41.8,56 LODORE ROAD
156000,BD2 4JN,S,E01010601,78,9947,8683,6214,51204,41.8,259 IDLE ROAD
247000,BD2 3DZ,D,E01010826,76,865,2370,253,43296,41.8,9 BLACKTHORNE CLOSE
245000,BD2 3FG,S,E01010649,77,7483,6091,1810,43296,41.8,49 FAGLEY LANE
170000,BD2 3JT,S,E01010827,71,8641,8441,2004,51204,41.8,24 BLAKEHILL AVENUE
50800,BD2 3LS,T,E01010827,47,8641,8441,2004,51204,41.8,97 FAGLEY ROAD
50800,BD2 3LS,T,E01010827,47,8641,8441,2004,51204,41.8,87 FAGLEY ROAD
210000,BD2 3RW,S,E01010652,76,8355,8773,5086,39418,41.8,67 PULLAN DRIVE
190000,BD2 4AX,D,E01010602,101,11592,13573,4806,45946,41.8,115 BOLTON LANE
355000,BD2 4LJ,D,E01010602,157,11592,13573,4806,45946,41.8,7 BEAUFORT GROVE
141000,BD2 4BJ,S,E01010600,87,6481,10047,8299,45946,41.8,58 WHITEWAYS
71500,BD2 4SQ,T,E01010832,80,5014,3434,7153,39958,41.8,1 HIGHER INTAKE ROAD
125000,BD3 0JH,T,E01010830,83,4503,3945,1317,39958,41.8,246 OTLEY ROAD
175000,BD3 0LT,T,E01010830,143,4503,3945,1317,39958,41.8,216 CLIFFE ROAD
